VIN,Stock#,Year,Make,Model,Type,Drive,Odo,Engine,Transmission,Ext color,yard_number,yard_name,Live Start,day_of_week,Event,time_zone,item,lot_number,vehicle_type,year,make,model_group,model_detail,body_style,color,damage_description,secondary_damage,sale_title_state,sale_title_type,has_keys,lot_cond_code,odometer_brand,est_retail_value,repair_cost,fuel_type,cylinders,runs_drives,sale_status,high_bid_non_vix_sealed_vix,special_note,Location,location_state,location_zip5,location_zip4,location_country,currency_code,image_thumbnail,create_date_time,grid_row,make_an_offer_eligible,Current Bid,image_url,trim,last_updated_time,rentals,copart_select,source,Timestamp
2HNYD28337H544803,PVJ2068,2007,ACURA,MDX,SUV,AWD,282823                                                                                                        ACTUAL,3.7L V6 300hp 275ft. lbs.,Automatic,BLACK,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2007 ACURA MDX ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
4T1BE32K82U102647,DCS482924,2002,Toyota,Camry,Sedan,FWD,213953                                                                                                        ACTUAL,2.4L I4 157hp 162ft. lbs.,Automatic,SILVER,,,06/06/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 06, 2023",, 2002 Toyota Camry ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
2HNYD2H35CH506225,PVV141849,2012,ACURA,MDX,SUV,AWD,161156                                                                                                        ACTUAL,3.7L V6 300hp 270ft. lbs.,Automatic,GRAY,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2012 ACURA MDX ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1G4HP52KX4U110168,DDB64372,2004,Buick,LeSabre,Sedan,FWD,106409                                                                                                        ACTUAL,3.8L V6 205hp 230ft. lbs.,Automatic,MAROON,,,06/03/2023                                            Go to event list,,"Washington Internet Auction Mechanic's Special 09:00 am June 03, 2023",, 2004 Buick LeSabre ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
5UXFA13545LY07985,PCS373171,2005,BMW,X5,SUV,AWD,93555                                                                                    EXEMPT,3.0L NA I6 double overhead cam (DOHC) 24V,Automatic,SILVER,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2005 BMW X5 ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
2HNYD18696H501781,PVL18478,2006,ACURA,MDX,SUV,AWD,144837                                                                                                        ACTUAL,3L NA V6 single overhead cam (SOHC) 24V,Automatic,GREEN,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2006 ACURA MDX ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
2HNYD18286H530329,PCS373597,2006,ACURA,MDX,SUV,AWD,161972                                                                                                        ACTUAL,3L NA V6 single overhead cam (SOHC) 24V,Automatic,SILVER,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2006 ACURA MDX ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
JH4KA96692C010256,DCB1001431,2002,ACURA,RL,Sedan,FWD,172321                                                                                                        ACTUAL,3L NA V6 single overhead cam (SOHC) 24V,Automatic,BLACK,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2002 ACURA RL ,,,,,,,,,,,,,,,,,,,,,,,,"Washington, DC",,,,,$,,,,,,,,,,,,
WAUKF78E86A183518,NCS154498,2006,Audi,A4,WAGON,AWD,280960                                                                                                        ACTUAL,2.0L TC I4 double overhead cam (DOHC) 16V,Manual,BLUE,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2006 Audi A4 ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
JH4KB16525C005071,DCB1002020,2005,ACURA,RL,Sedan,AWD,161180                                                                                                        ACTUAL,3L NA V6 single overhead cam (SOHC) 24V,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2005 ACURA RL ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1G4CW52K2Y4210607,DDB65005,2000,Buick,Park Avenue,Sedan,FWD,210809                                                                                                        ACTUAL,3.8L V6 205hp 230ft. lbs.,Automatic,GRAY,,,06/03/2023                                            Go to event list,,"Washington Internet Auction Mechanic's Special 09:00 am June 03, 2023",, 2000 Buick ParkAvenue ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
5UXKR0C3XH0V76936,PRS34236,2017,BMW,X5,SUV,AWD,65727                                                                                                        ACTUAL,3.0L Turbo I6 300hp 300ft. lbs.,Automatic,BLUE,,,06/06/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 06, 2023",, 2017 BMW X5 ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
WBADT43462GY43836,PMG30171,2002,BMW,525i,Sedan,RWD,195587                                                                                                        ACTUAL,2L NA I6 double overhead cam (DOHC) 24V,Automatic,SILVER,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2002 BMW 525i ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
WAUAT48H93K008889,PWW347742,2003,Audi,A4,CONVERTIBLE,FWD,181375                                                                                                        ACTUAL,3.0L NA V6 double overhead cam (DOHC) 30V,Automatic,GOLD,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2003 Audi A4 ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
WBAGN634X3DR09830,PCS373857,2003,BMW,745LI,4 DOOR SEDAN,RWD,184228                                                                                                        ACTUAL,8 - Cyl.,Automatic,BLACK,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2003 BMW 745LI ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
2HNYD18636H502330,DDC35697,2006,ACURA,MDX,SUV,AWD,136628                                                                                                        ACTUAL,3L NA V6 single overhead cam (SOHC) 24V,Automatic,BLUE,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2006 ACURA MDX ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1GYS4BEF4BR243938,DKD385225,2011,Cadillac,Escalade,SUV,AWD,233757                                                                                                        ACTUAL,6.2L Flex Fuel V8 403hp 417ft. lbs.,Automatic,BLACK,,,06/03/2023                                            Go to event list,,"Washington Internet Auction Mechanic's Special 09:00 am June 03, 2023",, 2011 Cadillac Escalade ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1GYS4BEF4BR243938,DKD385225,2011,Cadillac,Escalade,SUV,AWD,233757                                                                                                        ACTUAL,6.2L Flex Fuel V8 403hp 417ft. lbs.,Automatic,BLACK,,,06/03/2023                                            Go to event list,,"Washington Internet Auction Mechanic's Special 09:00 am June 03, 2023",, 2011 Cadillac Escalade ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1GNUKHE38AR264830,PFP3946,2010,Chevrolet,Suburban,SUV,4X4,171128                                                                                                        ACTUAL,Vortec Aluminum Block 5.3L Flex Fuel V8 320hp 335ft. lbs.,Automatic,GRAY,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2010 Chevrolet Suburban ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1GNUKHE38AR264830,PFP3946,2010,Chevrolet,Suburban,SUV,4X4,171128                                                                                                        ACTUAL,Vortec Aluminum Block 5.3L Flex Fuel V8 320hp 335ft. lbs.,Automatic,GRAY,,,06/06/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 06, 2023",, 2010 Chevrolet Suburban ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
3G5DA03E83S589485,PCS373806,2003,Buick,RENDEZVOUS CX,SUV,FWD,60296                                                                                                        ACTUAL,3L NA V6 overhead valves (OHV) 12V,Automatic,SILVER,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2003 Buick RENDEZVOUSCX ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
5UXFE43529L274143,PRS34252,2009,BMW,X5,SUV,AWD,145130                                                                                                        ACTUAL,3.0L I6 260hp 225ft. lbs.,Automatic,MAROON,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2009 BMW X5 ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
WBAEW53422PG16468,PCS373816,2002,BMW,330XI,Sedan,AWD,208054                                                                                                        ACTUAL,3.0L NA I6 double overhead cam (DOHC) 24V,Automatic,BLUE,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2002 BMW 330XI ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
WBANE53567CW63123,DCB1002109,2007,BMW,5 Series,Sedan,RWD,130450                                            TMU,3.0L I6 215hp 185ft. lbs.,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2007 BMW 5Series ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
5UXKS4C51E0J95405,NRS44391,2014,BMW,X5,SUV,AWD,97456                                                                                                        ACTUAL,3.0L Diesel Turbo I6 255hp 413ft. lbs.,Automatic,BLACK,,,06/03/2023                                            Go to event list,,"Manchester Internet Auction 09:00 am June 03, 2023",, 2014 BMW X5 ,,,,,,,,,,,,,,,,,,,,,,,,"Manchester, NH",,,,,$,,,,,,,,,,,,
2G1WF55E919270712,PMG30145,2001,Chevrolet,Impala,Sedan,FWD,138975                                                                                                        ACTUAL,3L NA V6 overhead valves (OHV) 12V,Automatic,GOLD,,,06/06/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 06, 2023",, 2001 Chevrolet Impala ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
2G1WH52K939199518,DCB1002031,2003,Chevrolet,Impala,Sedan,FWD,222443                                                                                                        ACTUAL,3.8L V6 200hp 225ft. lbs.,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Washington Internet Auction Mechanic's Special 09:00 am June 03, 2023",, 2003 Chevrolet Impala ,,,,,,,,,,,,,,,,,,,,,,,,"Washington, DC",,,,,$,,,,,,,,,,,,
WAUFFAFL9DN045637,DXY24672,2013,Audi,A4,Sedan,AWD,59550                                                                                                        ACTUAL,2.0L Flex Fuel Turbo I4 211hp 258ft. lbs.,Automatic,BLACK,,,05/31/2023                                            Go to event list,,"Washington Internet Auction 10:00 am May 31, 2023",, 2013 Audi A4 ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1G4HD57228U187334,PCA59414,2008,Buick,LUCERNE CXL,Sedan,FWD,148730                                                                                                        ACTUAL,3.8L V6 197hp 227ft. lbs.,Automatic,SILVER,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2008 Buick LUCERNECXL ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
WBAGL63463DP67434,PRU790017,2003,BMW,745I,Sedan,RWD,126763                                                                                                        ACTUAL,4L NA V8 double overhead cam (DOHC) 32V,Automatic,BLACK,,,06/03/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 03, 2023",, 2003 BMW 745I ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
W04GS5EC3B1124229,PCA59487,2011,Buick,Regal,Sedan,FWD,142989                                                                                                        ACTUAL,2.4L I4 182hp 172ft. lbs.,Automatic,GRAY,,,05/31/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 31, 2023",, 2011 Buick Regal ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1GNEVGKW8NJ113379,DDI902577,2022,Chevrolet,Traverse,SUV,4X4,3166                                                                                                        ACTUAL,3.6L V6 310hp 266ft. lbs.,Automatic,SILVER,,,06/03/2023                                            Go to event list,,"Washington Internet Auction 10:00 am June 03, 2023",, 2022 Chevrolet Traverse ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
1G1PC5SB2D7125119,PCA59408,2013,Chevrolet,CRUZE LT,Sedan,FWD,199289                                                                                                        ACTUAL,Ecotec 1.4L Turbo I4 138hp 148ft. lbs.,Automatic,BLACK,,,06/06/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 06, 2023",, 2013 Chevrolet CRUZELT ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1G1PC5SB2D7125119,PCA59408,2013,Chevrolet,CRUZE LT,Sedan,FWD,199289                                                                                                        ACTUAL,Ecotec 1.4L Turbo I4 138hp 148ft. lbs.,Automatic,BLACK,,,06/06/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm June 06, 2023",, 2013 Chevrolet CRUZELT ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
2G4WC582661311123,PCS373551,2006,Buick,LaCrosse,4 DOOR SEDAN,FWD,91588                                                                                    EXEMPT,6 - Cyl.,Automatic,GRAY,,,05/30/2023                                            Go to event list,,"Philadelphia Internet Auction 04:00 pm May 30, 2023",, 2006 Buick LaCrosse ,,,,,,,,,,,,,,,,,,,,,,,,"Philadelphia, PA",,,,,$,,,,,,,,,,,,
1G1JC52F247297076,DHV46261,2004,Chevrolet,Cavalier,Sedan,FWD,104546                                                                                                        ACTUAL,2.2L I4 140hp 150ft. lbs.,Automatic,BLUE,,,06/03/2023                                            Go to event list,,"Washington Internet Auction Mechanic's Special 09:00 am June 03, 2023",, 2004 Chevrolet Cavalier ,,,,,,,,,,,,,,,,,,,,,,,,"Temple Hills, MD",,,,,$,,,,,,,,,,,,
